timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1576584083970,650,getChargingStations Request,200,OK,Thread Group 1-16,text,true,,444571,266,2,2,https://station-management-int.cfapps.preprod.pc.innogy.com/chargingstations?page=0&pagesize=100,559,0,24
1576584084292,604,getChargingStations Request,200,OK,Thread Group 1-17,text,true,,444571,266,2,2,https://station-management-int.cfapps.preprod.pc.innogy.com/chargingstations?page=0&pagesize=100,553,0,39
1576584084620,757,getChargingStations Request,200,OK,Thread Group 1-16,text,true,,444571,266,2,2,https://station-management-int.cfapps.preprod.pc.innogy.com/chargingstations?page=0&pagesize=100,698,0,40
1576584084897,630,getChargingStations Request,200,OK,Thread Group 1-17,text,true,,444571,266,2,2,https://station-management-int.cfapps.preprod.pc.innogy.com/chargingstations?page=0&pagesize=100,572,0,27
1576584085377,560,getChargingStations Request,200,OK,Thread Group 1-16,text,true,,444571,266,2,2,https://station-management-int.cfapps.preprod.pc.innogy.com/chargingstations?page=0&pagesize=100,488,0,23
1576584085528,675,getChargingStations Request,200,OK,Thread Group 1-17,text,true,,444571,266,2,2,https://station-management-int.cfapps.preprod.pc.innogy.com/chargingstations?page=0&pagesize=100,601,0,24
1576584085938,639,getChargingStations Request,200,OK,Thread Group 1-16,text,true,,444571,266,2,2,https://station-management-int.cfapps.preprod.pc.innogy.com/chargingstations?page=0&pagesize=100,585,0,32
1576584086203,634,getChargingStations Request,200,OK,Thread Group 1-17,text,true,,444571,266,2,2,https://station-management-int.cfapps.preprod.pc.innogy.com/chargingstations?page=0&pagesize=100,578,0,23
1576584086578,518,getChargingStations Request,200,OK,Thread Group 1-16,text,true,,444571,266,2,2,https://station-management-int.cfapps.preprod.pc.innogy.com/chargingstations?page=0&pagesize=100,467,0,24
1576584086839,659,getChargingStations Request,200,OK,Thread Group 1-17,text,true,,444571,266,2,2,https://station-management-int.cfapps.preprod.pc.innogy.com/chargingstations?page=0&pagesize=100,583,0,26
